,filename,partition,semantic_label,numeric_label
0,00000.png,train,colosseum,0.0
1,00001.png,train,petronas_towers,1.0
2,00002.png,train,rialto_bridge,2.0
3,00003.png,train,museu_nacional_dart_de_catalunya,3.0
4,00004.png,train,pantheon,4.0
5,00005.png,train,hofburg_imperial_palace,5.0
6,00006.png,train,berlin_cathedral,6.0
7,00007.png,train,hagia_sophia,7.0
8,00008.png,train,gaudi_casa_batllo_barcelona,8.0
9,00009.png,train,st_stephen_cathedral_vienna,9.0
10,00010.png,train,colosseum,0.0
11,00011.png,train,petronas_towers,1.0
12,00012.png,train,rialto_bridge,2.0
13,00013.png,train,museu_nacional_dart_de_catalunya,3.0
14,00014.png,train,pantheon,4.0
15,00015.png,train,hofburg_imperial_palace,5.0
16,00016.png,train,berlin_cathedral,6.0
17,00017.png,train,hagia_sophia,7.0
18,00018.png,train,gaudi_casa_batllo_barcelona,8.0
19,00019.png,train,st_stephen_cathedral_vienna,9.0
20,00020.png,train,colosseum,0.0
21,00021.png,train,petronas_towers,1.0
22,00022.png,train,rialto_bridge,2.0
23,00023.png,train,museu_nacional_dart_de_catalunya,3.0
24,00024.png,train,pantheon,4.0
25,00025.png,train,hofburg_imperial_palace,5.0
26,00026.png,train,berlin_cathedral,6.0
27,00027.png,train,hagia_sophia,7.0
28,00028.png,train,gaudi_casa_batllo_barcelona,8.0
29,00029.png,train,st_stephen_cathedral_vienna,9.0
30,00030.png,train,colosseum,0.0
31,00031.png,train,petronas_towers,1.0
32,00032.png,train,rialto_bridge,2.0
33,00033.png,train,museu_nacional_dart_de_catalunya,3.0
34,00034.png,train,pantheon,4.0
35,00035.png,train,hofburg_imperial_palace,5.0
36,00036.png,train,berlin_cathedral,6.0
37,00037.png,train,hagia_sophia,7.0
38,00038.png,train,gaudi_casa_batllo_barcelona,8.0
39,00039.png,train,st_stephen_cathedral_vienna,9.0
40,00040.png,train,colosseum,0.0
41,00041.png,train,petronas_towers,1.0
42,00042.png,train,rialto_bridge,2.0
43,00043.png,train,museu_nacional_dart_de_catalunya,3.0
44,00044.png,train,pantheon,4.0
45,00045.png,train,hofburg_imperial_palace,5.0
46,00046.png,train,berlin_cathedral,6.0
47,00047.png,train,hagia_sophia,7.0
48,00048.png,train,gaudi_casa_batllo_barcelona,8.0
49,00049.png,train,st_stephen_cathedral_vienna,9.0
50,00050.png,train,colosseum,0.0
51,00051.png,train,petronas_towers,1.0
52,00052.png,train,rialto_bridge,2.0
53,00053.png,train,museu_nacional_dart_de_catalunya,3.0
54,00054.png,train,pantheon,4.0
55,00055.png,train,hofburg_imperial_palace,5.0
56,00056.png,train,berlin_cathedral,6.0
57,00057.png,train,hagia_sophia,7.0
58,00058.png,train,gaudi_casa_batllo_barcelona,8.0
59,00059.png,train,st_stephen_cathedral_vienna,9.0
60,00060.png,train,colosseum,0.0
61,00061.png,train,petronas_towers,1.0
62,00062.png,train,rialto_bridge,2.0
63,00063.png,train,museu_nacional_dart_de_catalunya,3.0
64,00064.png,train,pantheon,4.0
65,00065.png,train,hofburg_imperial_palace,5.0
66,00066.png,train,berlin_cathedral,6.0
67,00067.png,train,hagia_sophia,7.0
68,00068.png,train,gaudi_casa_batllo_barcelona,8.0
69,00069.png,train,st_stephen_cathedral_vienna,9.0
70,00070.png,train,colosseum,0.0
71,00071.png,train,petronas_towers,1.0
72,00072.png,train,rialto_bridge,2.0
73,00073.png,train,museu_nacional_dart_de_catalunya,3.0
74,00074.png,train,pantheon,4.0
75,00075.png,train,hofburg_imperial_palace,5.0
76,00076.png,train,berlin_cathedral,6.0
77,00077.png,train,hagia_sophia,7.0
78,00078.png,train,gaudi_casa_batllo_barcelona,8.0
79,00079.png,train,st_stephen_cathedral_vienna,9.0
80,00080.png,train,colosseum,0.0
81,00081.png,train,petronas_towers,1.0
82,00082.png,train,rialto_bridge,2.0
83,00083.png,train,museu_nacional_dart_de_catalunya,3.0
84,00084.png,train,pantheon,4.0
85,00085.png,train,hofburg_imperial_palace,5.0
86,00086.png,train,berlin_cathedral,6.0
87,00087.png,train,hagia_sophia,7.0
88,00088.png,train,gaudi_casa_batllo_barcelona,8.0
89,00089.png,train,st_stephen_cathedral_vienna,9.0
90,00090.png,train,colosseum,0.0
91,00091.png,train,petronas_towers,1.0
92,00092.png,train,rialto_bridge,2.0
93,00093.png,train,museu_nacional_dart_de_catalunya,3.0
94,00094.png,train,pantheon,4.0
95,00095.png,train,hofburg_imperial_palace,5.0
96,00096.png,train,berlin_cathedral,6.0
97,00097.png,train,hagia_sophia,7.0
98,00098.png,train,gaudi_casa_batllo_barcelona,8.0
99,00099.png,train,st_stephen_cathedral_vienna,9.0
100,00100.png,train,colosseum,0.0
101,00101.png,train,petronas_towers,1.0
102,00102.png,train,rialto_bridge,2.0
103,00103.png,train,museu_nacional_dart_de_catalunya,3.0
104,00104.png,train,pantheon,4.0
105,00105.png,train,hofburg_imperial_palace,5.0
106,00106.png,train,berlin_cathedral,6.0
107,00107.png,train,hagia_sophia,7.0
108,00108.png,train,gaudi_casa_batllo_barcelona,8.0
109,00109.png,train,st_stephen_cathedral_vienna,9.0
110,00110.png,train,colosseum,0.0
111,00111.png,train,petronas_towers,1.0
112,00112.png,train,rialto_bridge,2.0
113,00113.png,train,museu_nacional_dart_de_catalunya,3.0
114,00114.png,train,pantheon,4.0
115,00115.png,train,hofburg_imperial_palace,5.0
116,00116.png,train,berlin_cathedral,6.0
117,00117.png,train,hagia_sophia,7.0
118,00118.png,train,gaudi_casa_batllo_barcelona,8.0
119,00119.png,train,st_stephen_cathedral_vienna,9.0
120,00120.png,train,colosseum,0.0
121,00121.png,train,petronas_towers,1.0
122,00122.png,train,rialto_bridge,2.0
123,00123.png,train,museu_nacional_dart_de_catalunya,3.0
124,00124.png,train,pantheon,4.0
125,00125.png,train,hofburg_imperial_palace,5.0
126,00126.png,train,berlin_cathedral,6.0
127,00127.png,train,hagia_sophia,7.0
128,00128.png,train,gaudi_casa_batllo_barcelona,8.0
129,00129.png,train,st_stephen_cathedral_vienna,9.0
130,00130.png,train,colosseum,0.0
131,00131.png,train,petronas_towers,1.0
